code,date,score,title,event_type,confidence,label
300919,2026-04-08,1.5,2026年一季度业绩预告,业绩,0.9,利多
300390,2026-04-08,1.8,2026年第一季度业绩预告,业绩,0.9,利多
301265,2026-04-08,1.5,2026年第一季度业绩预告,业绩,0.9,利多
301265,2026-04-08,1.0,2026年第一季度业绩预告,业绩,0.9,利多
300014,2026-04-08,1.2,2026年第一季度业绩预告,业绩,0.9,利多
605016,2026-04-08,1.5,2026年第一季度业绩快报公告,业绩,0.95,利多
600186,2026-04-08,1.5,莲花控股股份有限公司2025年度业绩快报公告,业绩,0.95,利多
600186,2026-04-08,1.3,莲花控股股份有限公司2025年度业绩快报公告,业绩,0.9,利多
601069,2026-04-08,2.0,西部黄金股份有限公司2026年第一季度业绩预增公告,业绩,0.95,利多
000975,2026-04-08,1.8,2026年第一季度业绩预增公告,业绩,0.9,利多
603019,2026-04-08,1.2,中科曙光2026年第一季度业绩快报公告,业绩,0.9,利多
002384,2026-04-08,1.8,2026年第一季度业绩预告,业绩,0.9,利多
002384,2026-04-08,1.0,2026年第一季度业绩预告,业绩,0.9,利多
000933,2026-04-08,1.9,河南神火煤电股份有限公司2026年第一季度业绩预增公告,业绩,0.95,利多
301563,2026-04-08,1.5,2026年第一季度业绩预增公告,业绩,0.9,利多
301563,2026-04-08,0.8,2026年第一季度业绩预增公告,业绩,0.95,利多
300201,2026-04-08,1.5,2026年第一季度业绩预告,业绩,0.9,利多
300201,2026-04-08,1.2,2026年第一季度业绩预告,业绩,0.9,利多
300953,2026-04-08,2.0,宁波震裕科技股份有限公司2026年第一季度业绩预告,业绩,0.95,利多
300953,2026-04-08,1.8,宁波震裕科技股份有限公司2026年第一季度业绩预告,业绩,0.95,利多
002938,2026-04-08,0.1,鹏鼎控股（深圳）股份有限公司2026年3月营业收入简报,业绩,0.7,中性
600255,2026-04-08,1.5,鑫科材料关于2026年第一季度业绩预告的自愿性披露公告,业绩,0.9,利多
603966,2026-04-08,1.6,2026年第一季度业绩预增公告,业绩,0.95,利多
301197,2026-04-08,0.8,河北工大科雅科技集团股份有限公司关于收到中标通知书的公告,订单,0.65,利多
002609,2026-04-08,0.9,关于项目中标情况的自愿性信息披露公告,订单,0.75,利多
002307,2026-04-08,1.1,工程中标公告,订单,0.85,利多
002531,2026-04-08,1.3,关于签订海工订单的自愿性公告,订单,0.8,利多
002562,2026-04-08,0.5,关于公司控股股东、实际控制人提前终止股份减持计划暨减持股份结果的公告,减持,0.85,利多
000050,2026-04-08,0.8,关于控股股东自愿承诺不减持公司股份的公告,其他,0.9,利多
605016,2026-04-08,1.5,关于2025年度主要经营数据的公告,业绩,0.9,利多
600721,2026-04-08,1.2,新疆百花村医药集团股份有限公司关于筹划控制权变更事项的进展暨复牌的公告,重组,0.85,利多
301309,2026-04-08,1.0,关于筹划发行股份及支付现金购买资产并募集配套资金事项的一般风险提示暨股票复牌公告,重组,0.8,利多
603477,2026-04-08,0.1,乐山巨星农牧股份有限公司2026年3月养殖业务销售情况简报,业绩,0.7,中性
603950,2026-04-08,1.0,襄阳长源东谷实业股份有限公司关于发行股份购买资产并募集配套资金暨关联交易预案的一般风险提示暨公司股票复牌的提示性公告,重组,0.8,利多
688592,2026-04-08,0.8,关于仲裁的执行进展公告,其他,0.75,利多
301280,2026-04-08,0.8,关于取得金融机构股票回购专项贷款承诺函的公告,回购,0.85,利多
603799,2026-04-08,0.1,华友钴业关于拟回购注销部分限制性股票的公告,股权激励,0.85,中性
601857,2026-04-08,1.0,北京市金杜律师事务所关于中国石油天然气集团有限公司增持中国石油天然气股份有限公司股份的专项核查意见,增持,0.9,利多
688599,2026-04-08,0.1,天合光能股份有限公司2026年员工持股计划第一次持有人会议决议公告,股权激励,0.8,利多
600267,2026-04-08,1.5,浙江海正药业股份有限公司关于变更第二次回购股份用途并注销的公告,回购,0.95,利多
605090,2026-04-08,1.2,关于调整回购股份价格上限的公告,回购,0.9,利多
688620,2026-04-08,1.0,广州安凯微电子股份有限公司关于以集中竞价交易方式回购公司股份的回购报告书,回购,0.85,利多
688297,2026-04-08,0.5,中无人机关于董事增持股份结果的公告,增持,0.9,利多
601168,2026-04-08,1.5,西部矿业关于控股股东之一致行动人以专项贷款和自有资金增持公司股份计划的公告,增持,0.9,利多
603501,2026-04-08,1.2,关于以集中竞价方式首次回购股份的进展公告,回购,0.9,利多
600583,2026-04-08,0.2,海油工程关于控股股东增持计划延期的公告,增持,0.85,利多
601857,2026-04-08,1.5,中国石油天然气股份有限公司关于控股股东增持公司股份结果的公告,增持,0.95,利多
300599,2026-04-08,0.8,广东雄塑科技集团股份有限公司第一期员工持股计划,股权激励,0.85,利多
