date,code,title,sentiment,score,type,name
2026-04-09,603869,新智认知数字科技股份有限公司关于变更部分回购股份用途并注销、减少注册资本暨修订《公司章程》的公告,利多,1.0,其他,
2026-04-09,603869,新智认知数字科技股份有限公司关于申请撤销其他风险警示的公告,利多,2.0,其他,
2026-04-09,603380,苏州易德龙科技股份有限公司关于以集中竞价交易方式回购股份方案的公告暨回购报告书,利多,1.0,其他,
2026-04-09,300233,,利多,2.0,业绩,山东金城医药集团股份有限公司2026年一季度业绩预告
2026-04-09,300458,,利多,2.0,业绩,珠海全志科技股份有限公司2026年第一季度业绩预告
2026-04-09,600028,,利多,1.8,其他,中国石油化工股份有限公司关于控股股东及其一致行动人增持公司股份结果公告
2026-04-09,600028,,利多,1.8,其他,北京市海问律师事务所关于中国石油化工集团有限公司增持中国石油化工股份有限公司股份的专项核查意见
2026-04-09,300476,,利多,1.5,分红,胜宏科技（惠州）股份有限公司2025年年度分红派息实施公告
2026-04-09,300539,,利多,1.2,分红,宁波横河精密工业股份有限公司2025年度利润分配预案的公告
2026-04-09,301078,,利多,1.2,分红,孩子王儿童用品股份有限公司关于公司2025年度利润分配预案及提请股东会授权董事会制定中期分红方案的公告
2026-04-09,300031,,利多,1.0,其他,无锡宝通科技股份有限公司关于向激励对象首次授予限制性股票的公告
2026-04-09,300031,,利多,1.0,其他,江苏世纪同仁律师事务所关于无锡宝通科技股份有限公司2026年限制性股票激励计划首次授予相关事项的法律意见书
2026-04-09,300083,,利多,1.0,其他,广东创世纪智能装备集团股份有限公司关于2025年限制性股票激励计划首次授予部分第一个归属期归属条件成就的公告
2026-04-09,300236,,利多,1.0,其他,上海新阳半导体材料股份有限公司关于新成长（三期）股权激励计划第一个归属期归属结果暨股份上市公告
2026-04-09,300661,,利多,1.0,其他,圣邦微电子（北京）股份有限公司关于2021年限制性股票激励计划预留授予部分第三个归属期归属结果暨股份上市的公告
2026-04-09,300852,,利多,1.0,分红,四会富仕电子科技股份有限公司未来三年股东分红回报规划（2026-2028年）
2026-04-09,300902,,利多,1.0,减持,国安达股份有限公司关于实际控制人及其一致行动人未减持公司股份并提前终止减持计划的公告
2026-04-09,301106,,利多,1.0,减持,江苏骏成电子科技股份有限公司关于持股5%以上股东减持股份触及1%整数倍暨减持计划提前终止的公告
2026-04-09,600415,,利多,1.8,分红,浙江中国小商品城集团股份有限公司2025年度利润分配方案公告
2026-04-09,600415,,利多,1.5,分红,浙江中国小商品城集团股份有限公司关于提请股东会授权董事会制定2026年中期分红方案的公告
2026-04-09,601098,,利多,1.5,分红,中南出版传媒集团股份有限公司2025年度利润分配方案公告
2026-04-09,601677,,利多,1.5,业绩,河南明泰铝业股份有限公司2025年度业绩快报公告
2026-04-09,603112,,利多,1.2,分红,山西华翔集团股份有限公司关于2025年度利润分配预案的公告
2026-04-09,600125,,利多,1.0,分红,中铁铁龙集装箱物流股份有限公司2025年度利润分配预案公告
2026-04-09,600125,,利多,1.0,分红,中铁铁龙集装箱物流股份有限公司关于提请股东会授权董事会制定2026年中期分红方案的公告
2026-04-09,600495,,利多,1.0,其他,晋西车轴股份有限公司关于控股股东增持公司股份结果公告
2026-04-09,600508,,利多,1.0,其他,上海大屯能源股份有限公司关于控股股东增持公司股份计划的实施结果公告
2026-04-09,600547,,利多,1.0,其他,山东黄金矿业股份有限公司关于控股股东及其一致行动人增持公司股份计划实施完毕及增持结果公告
2026-04-09,600833,,利多,1.0,分红,上海第一医药股份有限公司2025年年度利润分配方案公告
2026-04-09,601600,,利多,1.0,其他,中国铝业股份有限公司关于控股股东及其一致行动人增持公司股份结果的公告
2026-04-09,601818,,利多,1.0,其他,中国光大银行股份有限公司关于控股股东增持股份计划实施完毕暨增持结果的公告
2026-04-09,601838,,利多,1.0,其他,成都银行股份有限公司关于实际控制人控制的股东增持计划实施完毕暨增持股份结果公告
2026-04-09,601898,,利多,1.0,其他,中国中煤能源股份有限公司关于控股股东增持公司股份计划的实施结果公告
2026-04-09,603160,,利多,1.0,其他,关于控股股东、实际控制人、部分董事、高级管理人员增持公司股份计划的结果公告
2026-04-09,603806,,利多,1.5,分红,杭州福斯特应用材料股份有限公司关于公司2025年度利润分配预案的公告
2026-04-09,688332,,利多,1.5,分红,深圳市中科蓝讯科技股份有限公司关于公司2025年年度利润分配预案的公告
2026-04-09,605189,,利多,1.5,业绩,芜湖富春染织股份有限公司2026年第一季度业绩预告的自愿性披露公告
2026-04-09,688557,,利多,1.2,分红,兰剑智能科技股份有限公司2025年年度利润分配及资本公积转增股本方案的公告
2026-04-09,688663,,利多,1.2,分红,新风光电子科技股份有限公司关于2025年年度利润分配及资本公积转增股本方案的公告
2026-04-09,605136,,利多,1.0,其他,上海丽人丽妆化妆品股份有限公司关于董事增持公司股份公告
2026-04-09,688350,,利多,1.0,其他,江苏富淼科技股份有限公司关于董事长兼总经理增持公司股份的公告
2026-04-09,603182,,利多,0.8,重组,山东嘉华生物科技股份有限公司关于提请批准认购对象免于以要约收购方式增持公司股份的公告
