code,name,date,score,title,event_type,confidence,label,reason
002458,益生股份,2026-04-10,1.8,2026年3月鸡苗和种猪销售情况简报,业绩,0.9,利多,鸡苗种猪量价齐升，营收大增
300037,新宙邦,2026-04-10,1.8,（2026-033）2026年第一季度业绩预告,业绩,0.95,利多,一季度净利同比预增超100%
002738,中矿资源,2026-04-10,1.8,公司2026年第一季度业绩预告,业绩,0.95,利多,一季度净利同比暴增超270%
000657,中钨高新,2026-04-10,1.8,中钨高新材料股份有限公司2026年一季度业绩预增的公告,业绩,0.95,利多,一季度净利预增超250%
603893,瑞芯微,2026-04-10,1.8,2026年第一季度业绩预告,业绩,0.95,利多,全年净利大增75%超预期
605338,巴比食品,2026-04-10,1.8,关于2025年度利润分配预案及提请股东会授权董事会制定2026年中期分红方案的公告,分红,0.95,利多,分红比例超100%高比例回馈
688188,柏楚电子,2026-04-10,1.8,关于2025年年度利润分配及资本公积金转增股本方案的公告,分红,0.95,利多,净利高增，高送转加大额分红
605117,德业股份,2026-04-10,1.8,关于2025年度利润分配及资本公积金转增股本方案的公告,分红,0.95,利多,高比例分红叠加转增股本
002895,川恒股份,2026-04-10,1.8,提请股东会授权董事会制定中期分红方案的公告,分红,0.95,利多,分红回购占净利超91%
000657,中钨高新,2026-04-10,1.7,中钨高新材料股份有限公司2026年一季度业绩预增的公告,业绩,0.9,利多,扣非净利大增585%超预期
605117,德业股份,2026-04-10,1.6,2026年第一季度业绩预增公告,业绩,0.9,利多,一季度净利预增超55%
603933,睿能科技,2026-04-10,1.5,睿能科技关于筹划发行股份及支付现金购买资产并募集配套资金事项的一般风险提示暨公司股票复牌的公告,重组,0.8,利多,筹划收购资产并配套融资
000722,湖南发展,2026-04-10,1.5,2026年第一季度业绩预告,业绩,0.9,利多,一季度净利同比大增超165%
603893,瑞芯微,2026-04-10,1.5,2026年第一季度业绩预告,业绩,0.9,利多,一季度净利预增超50%
300095,华伍股份,2026-04-10,1.5,关于注销回购股份并减少注册资本暨通知债权人的公告,回购,0.95,利多,注销6.11%回购股份增厚EPS
600273,嘉化能源,2026-04-10,1.5,关于注销回购股份并减少注册资本的公告,回购,0.9,利多,注销回购股份提升每股价值
601658,邮储银行,2026-04-10,1.5,中国邮政储蓄银行股份有限公司关于控股股东增持本行股份结果公告,增持,0.9,利多,控股股东增持超5亿
300442,润泽科技,2026-04-10,1.5,关于2025年度利润分配及2026年中期利润分配预案的公告,分红,0.9,利多,净利大增且分红比例超三成
300866,安克创新,2026-04-10,1.5,关于2025年度利润分配预案的公告,分红,0.9,利多,净利增长，分红比例超五成
603713,密尔克卫,2026-04-10,1.5,密尔克卫智能供应链服务集团股份有限公司未来三年（2026-2028年）股东分红回报规划,分红,0.95,利多,净利增长叠加回购注销
600273,嘉化能源,2026-04-10,1.5,关于2025年度利润分配预案的公告,分红,0.9,利多,分红加回购总额达净利润100%
600983,惠而浦,2026-04-10,1.5,惠而浦2025年度利润分配预案的公告,分红,0.9,利多,净利大增且分红比例极高
688486,龙迅股份,2026-04-10,1.5,龙迅股份2025年度利润分配预案的公告,分红,0.9,利多,净利增长且高比例分红转增
001288,运机集团,2026-04-10,1.5,关于公司2025年度利润分配预案的公告,分红,0.9,利多,净利增长叠加回购注销分红
003008,开普检测,2026-04-10,1.5,关于提请股东会授权董事会制定并实施2026年中期分红方案的公告,分红,0.9,利多,分红比例超100%，高回报
603256,宏和科技,2026-04-10,1.5,宏和科技关于2025年度利润分配预案的公告,分红,0.9,利多,净利暴增且实施现金分红
001391,国货航,2026-04-10,1.4,关于2025年度利润分配方案的公告,分红,0.9,利多,净利增长，分红比例超四成
300562,乐心医疗,2026-04-10,1.3,关于2025年度利润分配预案的公告,分红,0.85,利多,净利增长，分红比例近七成
002155,湖南黄金,2026-04-10,1.3,关于2025年度利润分配预案的公告,分红,0.9,利多,净利润大增，分红比例达标
300633,开立医疗,2026-04-10,1.2,关于首次回购公司股份的公告,回购,0.9,利多,首次实施回购并拟注销股份
600674,川投能源,2026-04-10,1.2,北京大成（成都）律师事务所关于四川川投能源股份有限公司控股股东增持股份的法律意见书,增持,0.95,利多,控股股东增持计划已实施完毕
688002,睿创微纳,2026-04-10,1.2,关于2025年年度利润分配预案公告,分红,0.85,利多,净利润翻倍，实施现金分红
300771,智莱科技,2026-04-10,1.2,关于2025年度利润分配预案的公告,分红,0.9,利多,分红比例超50%回馈股东
688798,艾为电子,2026-04-10,1.2,艾为电子关于2025年年度利润分配方案公告,分红,0.9,利多,净利大增实施现金分红
603350,安乃达,2026-04-10,1.2,关于2025年度利润分配方案的公告,分红,0.85,利多,现金分红比例达60.74%
300922,天秦装备,2026-04-10,1.2,关于2025年度利润分配方案的公告,分红,0.9,利多,现金分红比例达74.99%
603995,甬金股份,2026-04-10,1.0,关于注销回购专用证券账户库存股减少公司注册资本修订《公司章程》的公告,回购,0.9,利多,注销回购股份提升每股收益
603995,甬金股份,2026-04-10,1.0,关于2025年度利润分配方案的公告,分红,0.9,利多,净利稳健分红超五成
300444,双杰电气,2026-04-10,1.0,关于2025年度利润分配预案的公告,分红,0.85,利多,净利翻倍拟派发现金
300979,华利集团,2026-04-10,1.0,关于2025年度利润分配预案的公告,分红,0.85,利多,高比例分红，派息率达76%
000531,穗恒运Ａ,2026-04-10,1.0,关于2025年年度利润分配预案的公告,分红,0.85,利多,净利润同比大增，实施现金分红
301148,嘉戎技术,2026-04-10,1.0,关于2025年度利润分配预案的公告,分红,0.85,利多,盈利稳定且分红比例较高
605298,必得科技,2026-04-10,1.0,江苏必得科技股份有限公司2025年年度利润分配方案公告,分红,0.9,利多,现金分红比例达66.17%
300741,华宝股份,2026-04-10,0.8,华宝香精股份有限公司关于收购控股子公司少数股东股权的公告,重组,0.75,利多,收购盈利增长子公司股权
002128,电投能源,2026-04-10,0.8,关于收到深圳证券交易所并购重组审核委员会审核公司发行股份及支付现金购买资产并募集配套资金事项会议安排的公告,重组,0.85,利多,重组事项将上会审核
300628,亿联网络,2026-04-10,0.8,2026年第一季度业绩预告,业绩,0.85,利多,一季度净利预增14%-18%
600674,川投能源,2026-04-10,0.8,北京大成（成都）律师事务所关于四川川投能源股份有限公司控股股东增持股份的法律意见书,增持,0.85,利多,控股股东增持彰显对公司信心
601658,邮储银行,2026-04-10,0.8,北京德恒律师事务所关于中国邮政集团有限公司增持中国邮政储蓄银行股份有限公司股份的专项核查意见,增持,0.85,利多,控股股东增持获法律意见认可
300190,维尔利,2026-04-10,0.8,关于部分董事、高级管理人员增持公司股份计划实施完毕暨增持结果的公告,增持,0.85,利多,董监高完成增持计划
600728,佳都科技,2026-04-10,0.8,佳都科技2025年度利润分配预案公告,分红,0.8,利多,扭亏为盈，实施低比例分红
002917,金奥博,2026-04-10,0.8,关于2025年度利润分配预案的公告,分红,0.85,利多,三年累计分红占净利九成
688375,国博电子,2026-04-10,0.8,南京国博电子股份有限公司2025年度利润分配预案公告,分红,0.85,利多,净利超五亿分红五成
300611,美力科技,2026-04-10,0.8,关于公司2025年度利润分配预案的公告,分红,0.85,利多,净利润大幅增长，实施现金分红
688667,菱电电控,2026-04-10,0.8,菱电电控2025年度利润分配方案的公告,分红,0.85,利多,净利润稳健，分红比例达标
301628,强达电路,2026-04-10,0.8,关于2025年度利润分配方案的公告,分红,0.85,利多,净利润增长，分红比例达标
688028,沃尔德,2026-04-10,0.8,关于2025年年度利润分配方案及2026年中期分红安排的公告,分红,0.85,利多,现金分红及回购占比近50%
605086,龙高股份,2026-04-10,0.8,龙岩高岭土股份有限公司关于2025年度利润分配预案的公告,分红,0.85,利多,现金分红比例达40.04%
688309,恒誉环保,2026-04-10,0.8,2025年度利润分配方案公告,分红,0.85,利多,净利高增且分红比例较高
600416,湘电股份,2026-04-10,0.8,湘潭电机股份有限公司关于计提资产减值准备的公告,减值,0.85,利多,减值转回净额超2300万增利
603334,丰倍生物,2026-04-10,0.6,丰倍生物关于2025年度利润分配方案的公告,分红,0.85,利多,每10股派3.5元分红积极
300693,盛弘股份,2026-04-10,0.6,关于2025年度利润分配预案的公告,分红,0.8,利多,净利润稳步增长，实施现金分红
603890,春秋电子,2026-04-10,0.5,关于全资子公司全面要约收购Asetek A/S全部股份的进展公告,重组,0.7,利多,海外收购获审批顺利推进
002701,奥瑞金,2026-04-10,0.5,2026年第一季度业绩预告的自愿性信息披露公告,业绩,0.8,利多,扣非净利大增主业向好
002701,奥瑞金,2026-04-10,0.5,2025年度业绩快报,业绩,0.75,利多,归母净利增28%，并购并表
600499,科达制造,2026-04-10,0.5,北京市康达律师事务所关于科达制造股份有限公司2025年员工持股计划授予预留份额事项的法律意见书,股权激励,0.85,利多,授予预留份额绑定核心团队
603380,易德龙,2026-04-10,0.5,苏州易德龙科技股份有限公司关于以集中竞价交易方式回购股份方案的公告暨回购报告书,回购,0.8,利多,公司拟回购股份用于激励
603380,易德龙,2026-04-10,0.5,苏州易德龙科技股份有限公司关于以集中竞价交易方式回购股份方案的公告暨回购报告书,股权激励,0.75,利多,推出员工持股计划绑定利益
603380,易德龙,2026-04-10,0.5,苏州易德龙科技股份有限公司关于以集中竞价交易方式回购股份方案的公告暨回购报告书,股权激励,0.75,利多,推出员工持股计划绑定利益
688278,特宝生物,2026-04-10,0.5,特宝生物：关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,回购,0.8,利多,公司拟回购股份彰显发展信心
