code,name,date,score,title,event_type,confidence,label,reason,holding_days
000858,五 粮 液,2026-05-07,1.8,关于四川省宜宾五粮液集团有限公司增持公司股票计划的公告,增持,0.95,利多,控股股东拟斥资三十亿增持,20
002352,顺丰控股,2026-05-07,1.8,关于回购公司A股股份比例达到2%暨月度回购进展的公告,回购,0.95,利多,巨额回购注销增厚价值,20
600869,远东股份,2026-05-07,1.8,关于子公司中标项目的提示性公告,订单,0.9,利多,获超26亿大单覆盖AI储能,15
300054,鼎龙股份,2026-05-07,1.7,关于公司三类抛光液产品取得重大进展并获得订单的公告,订单,0.9,利多,抛光液突破获批量订单,20
000338,潍柴动力,2026-05-07,1.6,潍柴动力股份有限公司关于回购公司部分A股股份的进展公告,回购注销,0.9,利多,回购注销提升每股价值,15
603045,福达合金,2026-05-07,1.6,关于2025年度业绩说明会召开情况的公告,业绩增长,0.9,利多,净利大增136%且拟分红,20
605090,九丰能源,2026-05-07,1.5,关于股份回购进展及实施结果暨股份变动的公告,回购完成,0.9,利多,回购完成并全部注销,12
002601,龙佰集团,2026-05-07,1.5,关于回购公司股份的进展公告,股份回购,0.9,利多,已耗资近5亿回购力度强劲,18
000333,美的集团,2026-05-07,1.5,关于以集中竞价交易方式回购A股股份进展情况的公告,回购进展,0.95,利多,百亿级回购彰显龙头信心,20
000703,恒逸石化,2026-05-07,1.5,关于回购公司股份（第六期）事项的进展公告,回购,0.9,利多,大额回购已近完成上限,14
600958,东方证券,2026-05-07,1.5,东方证券股份有限公司关于披露发行股份及支付现金购买资产暨关联交易预案的一般风险提示暨公司股票复牌的公告,资产重组,0.8,利多,收购上海证券100%股权,20
603020,爱普股份,2026-05-07,1.3,爱普香料集团股份有限公司关于实施回购股份注销暨股份变动的公告,回购注销,0.85,利多,注销回购股份优化股本结构,10
002626,金达威,2026-05-07,1.3,关于回购公司股份方案暨取得股票回购专项贷款承诺函的公告,股份回购,0.8,利多,推出大额回购方案资金到位,15
002973,侨银股份,2026-05-07,1.3,关于收到约7.92亿元安徽省阜阳市颍泉区环卫保洁市场化项目中标通知书的公告,订单,0.8,利多,获7.9亿环卫长单稳业绩,12
688152,麒麟信安,2026-05-07,1.2,麒麟信安：关于实施回购股份注销暨股份变动的公告,注销,0.9,利多,注销股份直接增厚业绩,15
002655,共达电声,2026-05-07,1.2,共达电声股份有限公司关于控股股东的一致行动人增持公司股份权益变动触及1%整数倍暨增持计划进展情况的公告,增持,0.9,利多,一致行动人大额增持,15
002556,辉隆股份,2026-05-07,1.2,公司关于变更回购股份用途并注销的公告,回购注销,0.85,利多,回购股份注销增厚每股收益,10
688777,中控技术,2026-05-07,1.2,中控技术股份有限公司关于以集中竞价交易方式回购公司股份的进展公告,股份回购,0.85,利多,大额回购推进彰显信心,15
002032,苏 泊 尔,2026-05-07,1.2,关于回购股份注销完成暨股份变动的公告,回购注销,0.9,利多,回购注销完成增厚每股收益,10
002051,中工国际,2026-05-07,1.2,关于回购股份实施结果暨股份变动的公告,回购注销,0.9,利多,回购完成并注销，增厚EPS,14
603341,龙旗科技,2026-05-07,1.2,关于以集中竞价交易方式回购股份的回购报告书,回购,0.85,利多,大额回购计划且无减持计划,15
600872,中炬高新,2026-05-07,1.2,中炬高新关于以集中竞价交易方式回购股份的进展公告,回购注销,0.85,利多,大额回购注销增厚每股收益,15
688606,奥泰生物,2026-05-07,1.2,关于股份回购进展公告,回购,0.9,利多,注销式回购近达标力度大,15
300807,天迈科技,2026-05-07,1.2,关于发行股份及支付现金购买资产预案暨公司股票复牌及一般风险提示性的公告,资产重组,0.75,利多,筹划重大资产重组复牌,15
605006,山东玻纤,2026-05-07,1.2,山东玻纤集团股份有限公司关于2026年第一季度业绩说明会召开情况的公告,业绩,0.85,利多,一季度营收净利双增,10
601096,宏盛华源,2026-05-07,1.2,宏盛华源关于国家电网项目预中标的提示性公告,订单,0.7,利多,预中标6.65亿电网项目,10
601222,林洋能源,2026-05-07,1.2,江苏林洋能源股份有限公司关于重大经营合同预中标的提示性公告,订单,0.8,利多,预中标2.2亿电表项目,10
002556,辉隆股份,2026-05-07,1.2,公司关于收到参股公司利润分配款的公告,分红,0.9,利多,获参股分红占净利近17%,10
688100,威胜信息,2026-05-07,1.1,关于2026年4月中标合同情况的自愿性披露公告,订单,0.8,利多,获超2亿电网数字化订单,10
688178,万德斯,2026-05-07,1.1,南京万德斯环保科技股份有限公司关于自愿披露中标固镇县经济开发区工业污水资源利用化EPC+O项目的公告,订单,0.8,利多,中标3亿污水资源化项目,12
002546,新联电子,2026-05-07,1.1,关于重大经营合同预中标的提示性公告,订单,0.8,利多,预中标5454万电网终端,9
688018,乐鑫科技,2026-05-07,1.0,乐鑫科技关于股份回购实施结果暨股份变动的公告,回购,0.9,利多,回购全额完成力度较大,15
002419,天虹股份,2026-05-07,1.0,关于回购公司股份的进展公告,回购,0.9,利多,注销式回购超一亿利好,15
000415,渤海租赁,2026-05-07,1.0,关于回购公司股份比例达到1%暨回购进展的公告,回购,0.85,利多,回购达百分之一耗资超三亿,12
000404,长虹华意,2026-05-07,1.0,关于回购公司股份进展暨回购完成的公告,回购,0.9,利多,回购完成且高管同步增持,15
601236,红塔证券,2026-05-07,1.0,红塔证券股份有限公司关于股份回购进展公告,回购进展,0.8,利多,回购近完成且用于注销,8
603208,江山欧派,2026-05-07,1.0,江山欧派关于已回购股份注销实施公告,股份注销,0.85,利多,回购股份注销提升每股价值,12
002758,浙农股份,2026-05-07,1.0,关于实际控制人的一致行动人取得金融机构股份增持专项贷款承诺函的公告,股东增持,0.85,利多,实控人一致行动人获贷增持,14
000950,重药控股,2026-05-07,1.0,关于回购股份进展的公告,回购,0.9,利多,回购金额达下限，注销利好,14
688563,航材股份,2026-05-07,1.0,关于以集中竞价交易方式回购公司股份的进展公告,回购,0.9,利多,回购近达下限，资金实力强,15
601956,东贝集团,2026-05-07,1.0,湖北东贝机电集团股份有限公司关于以集中竞价交易方式回购股份的进展公告,回购,0.85,利多,回购进度过半用于股权激励,12
603368,柳药集团,2026-05-07,1.0,广西柳药集团股份有限公司关于以集中竞价交易方式回购股份的进展公告,回购,0.9,利多,回购金额近达上限执行强,14
601021,春秋航空,2026-05-07,1.0,春秋航空关于股份回购进展公告,回购,0.85,利多,已耗资2.2亿回购，彰显信心,15
688517,金冠电气,2026-05-07,1.0,产品中标的自愿性披露公告,订单,0.8,利多,中标4225万避雷器项目,8
002606,大连电瓷,2026-05-07,1.0,关于国家电网预中标的提示性公告,订单,0.8,利多,预中标8950万绝缘子,8
601288,农业银行,2026-05-07,1.0,农业银行2025年年度A股分红派息实施公告,分红,0.95,利多,全年派息超870亿高股息,15
601398,工商银行,2026-05-07,1.0,工商银行A股2025年年度分红派息实施公告,分红,0.95,利多,全年派息超1100亿高股息,15
002675,东诚药业,2026-05-07,0.9,关于回购公司股份进展情况的公告,回购,0.85,利多,回购进度超八成，利好股价,12
301102,兆讯传媒,2026-05-07,0.9,关于股份回购进展的公告,回购,0.8,利多,回购稳步推进用于股权激励,10
600278,东方创业,2026-05-07,0.9,东方国际创业股份有限公司关于股份回购进展公告,回购注销,0.8,利多,回购达下限并计划注销,14
000408,藏格矿业,2026-05-07,0.8,关于股份回购进展情况的公告,回购,0.85,利多,已耗资超两亿回购力强,12
002643,万润股份,2026-05-07,0.8,关于回购股份进展的公告,回购,0.85,利多,回购达下限拟注销股本,12
000652,泰达股份,2026-05-07,0.8,关于股份回购进展情况的公告,回购,0.8,利多,回购进展顺利已耗资超五千万,10
600718,东软集团,2026-05-07,0.8,东软集团关于2026年员工持股计划实施进展的公告,员工持股,0.75,利多,员工持股计划持续买入,10
002960,青鸟智控,2026-05-07,0.8,关于回购公司股份的进展公告,股份回购,0.8,利多,回购超1.16%资金持续投入,12
601866,中远海发,2026-05-07,0.8,中远海发关于以集中竞价交易方式回购公司A股股份的进展公告,回购,0.85,利多,持续回购注销，提振信心,10
600835,上海机电,2026-05-07,0.8,上海机电关于以集中竞价交易方式回购股份的进展公告,回购,0.85,利多,B股回购注销，提振估值,12
688271,联影医疗,2026-05-07,0.8,联影医疗关于首次回购暨股份回购进展公告,回购,0.8,利多,启动回购并用于股权激励,10
603885,吉祥航空,2026-05-07,0.8,上海吉祥航空股份有限公司关于以集中竞价交易方式回购公司股份的回购进展公告,回购,0.75,利多,公司持续回购维护价值,10
603876,鼎胜新材,2026-05-07,0.8,江苏鼎胜新能源材料股份有限公司关于股份回购进展公告,回购,0.8,利多,回购进度过半提振信心,12
002565,顺灏股份,2026-05-07,0.8,关于回购公司股份进展的公告,回购,0.85,利多,回购金额近达标执行积极,12
300174,元力股份,2026-05-07,0.8,关于回购公司股份进展的公告,回购,0.85,利多,回购超七成执行坚决,14
601799,星宇股份,2026-05-07,0.8,星宇股份关于股份回购进展公告,回购,0.9,利多,大额回购进展快，资金实力强,7
603605,珀莱雅,2026-05-07,0.8,珀莱雅化妆品股份有限公司关于股份回购进展公告,回购,0.85,利多,已耗资过亿回购，支撑股价,14
603558,健盛集团,2026-05-07,0.8,健盛集团关于股份回购进展公告,回购,0.9,利多,回购注销直接增厚业绩,14
600219,南山铝业,2026-05-07,0.8,山东南山铝业股份有限公司关于以集中竞价方式回购股份的进展公告,回购,0.9,利多,大额回购注销，利好显著,14
300673,佩蒂股份,2026-05-07,0.8,关于回购公司股份的进展公告（截至2026年4月末）,回购,0.85,利多,回购接近上限已耗资近6千万,12
000426,兴业银锡,2026-05-07,0.8,西藏鑫达矿业有限公司拟收购股权涉及的西藏阳光矿业投资有限公司股东全部权益价值资产评估报告,资产收购,0.7,利多,收购金矿资产扩充资源储量,20
601933,永辉超市,2026-05-07,0.8,永辉超市股份有限公司关于仲裁案件的进展公告,仲裁胜诉,0.75,利多,仲裁胜诉获赔超36亿，待执行,10
688235,百济神州,2026-05-07,0.8,百济神州有限公司自愿披露关于2026年度经营业绩预测调整的公告,业绩预测上调,0.85,利多,营收及利润预测双双上调,10
601969,海南矿业,2026-05-07,0.8,海南矿业股份有限公司关于2026年第一季度业绩说明会召开情况公告,分红与业绩,0.75,利多,明确分红实施及油价利好,14
600839,四川长虹,2026-05-07,0.7,四川长虹关于以集中竞价交易方式回购公司股份的进展公告,回购,0.8,利多,回购稳步推进已耗资一点八亿,10
002858,力盛体育,2026-05-07,0.7,关于回购公司股份的进展公告,股份回购,0.75,利多,持续回购股份提振信心,10
601609,金田股份,2026-05-07,0.7,金田股份关于以集中竞价交易方式回购公司股份的进展公告,回购,0.8,利多,回购推进顺利，支撑转债,10
