code,date,factor,car_pre,car_post,car_total,leakage
300083,2026-04-09,-0.6692016408594819,-0.010786,0.005319,-0.005467,1.973
300233,2026-04-09,2.485606094620932,0.111638,-0.005803,0.105836,1.0548
300236,2026-04-09,-0.6692016408594819,0.114974,0.014885,0.129859,0.8854
300458,2026-04-09,2.485606094620932,0.012736,0.102064,0.1148,0.1109
300476,2026-04-09,0.9082022268807252,0.106242,0.042263,0.148505,0.7154
300539,2026-04-09,-0.03824009376339921,0.040804,0.006026,0.046831,0.8713
300661,2026-04-09,-0.6692016408594819,0.17096,-0.045899,0.125061,1.367
300852,2026-04-09,-0.6692016408594819,0.027322,0.007369,0.034691,0.7876
300902,2026-04-09,-0.6692016408594819,0.007671,0.017534,0.025205,0.3043
301078,2026-04-09,-0.03824009376339921,0.026811,0.014151,0.040962,0.6545
301106,2026-04-09,-0.6692016408594819,0.025364,-0.000692,0.024672,1.028
600495,2026-04-09,-0.6692016408594819,-0.083196,-0.002217,-0.085413,0.974
600508,2026-04-09,-0.6692016408594819,-0.037527,-0.003108,-0.040635,0.9235
600547,2026-04-09,-0.6692016408594819,0.028488,-0.025927,0.002561,11.122
600833,2026-04-09,-0.6692016408594819,-0.040732,0.00954,-0.031192,1.3059
601098,2026-04-09,0.9082022268807252,0.016868,0.000895,0.017763,0.9496
601600,2026-04-09,-0.6692016408594819,0.118136,-0.03289,0.085246,1.3858
601677,2026-04-09,0.9082022268807252,0.152486,-0.025481,0.127005,1.2006
601898,2026-04-09,-0.6692016408594819,0.013216,-0.012673,0.000543,24.3222
603112,2026-04-09,-0.03824009376339921,0.170636,-0.013677,0.156959,1.0871
603160,2026-04-09,-0.6692016408594819,0.040856,0.002483,0.043339,0.9427
605136,2026-04-09,-0.6692016408594819,0.026938,0.0,0.026938,1.0
605189,2026-04-09,0.9082022268807252,0.125166,0.049313,0.17448,0.7174
688350,2026-04-09,-0.6692016408594819,-0.023114,0.033262,0.010148,-2.2778
688557,2026-04-09,-0.03824009376339921,0.001032,0.000962,0.001994,0.5175
688663,2026-04-09,-0.03824009376339921,-0.003234,0.001916,-0.001318,2.454
