code,date,score,reason,name,event_type,confidence,label,holding_days,vol,factor
=002078,2026-04-13 00:00:00,1.7,净利稳健增长，分红总额高,太阳纸业,分红,0.9,利多,12.0,0.21213203435596428,3.316648453046393
=002299,2026-04-13 00:00:00,3.9000000000000004,净利润翻倍，高比例现金分红,圣农发展,业绩增长,0.95,利多,15.0,0.43588989435406733,3.316648453046393
=600366,2026-04-13 00:00:00,4.6,分红比例超三倍超预期,宁波韵升,分红,0.95,利多,15.0,0.477343841331532,3.316648453046393
=603059,2026-04-13 00:00:00,1.9,设定明确增长目标，绑定利益,倍加洁,股权激励,0.8,利多,15.0,0.23629078131263043,3.316648453046393
=688312,2026-04-13 00:00:00,3.1999999999999997,净利增四成且高分红,燕麦科技,分红,0.9,利多,12.0,0.4126472801046649,3.316648453046393
=002653,2026-04-13 00:00:00,3.0,净利预增超9倍超预期,海思科,业绩预增,0.95,利多,15.0,0.42426406871192857,3.0361228221875507
=600713,2026-04-13 00:00:00,1.3,盈利稳定且分红比例超30%,南京医药,分红,0.9,利多,15.0,0.21213203435596428,2.52036648112234
=300807,2026-04-13 00:00:00,0.8,减值准备净转回，增厚净利润,天迈科技,减值转回,0.85,利多,5.0,0.282842712474619,0.7152192873941041
=600693,2026-04-13 00:00:00,1.5,分红比例超170%高回报,东百集团,分红,0.9,利多,14.0,0.6363961030678927,0.4573411168614988
=605208,2026-04-13 00:00:00,1.0,净利润翻倍增长且实施分红,永茂泰,分红,0.8,利多,10.0,0.42426406871192857,0.4573411168614986
=688627,2026-04-13 00:00:00,0.5,业绩考核目标高显信心,精智达,股权激励,0.9,利多,14.0,0.21213203435596428,0.4573411168614986
=002297,2026-04-13 00:00:00,1.8,净利润暴增超百倍,博云新材,业绩预增,0.95,利多,15.0,1.0,0.15262624095783744
=002439,2026-04-13 00:00:00,1.8,净利润同比暴增超20倍,启明星辰,业绩预告,0.95,利多,15.0,1.0,0.15262624095783744
=300770,2026-04-13 00:00:00,1.8,分红回购总额超净利润,新媒股份,分红,0.95,利多,15.0,1.0,0.15262624095783744
=600259,2026-04-13 00:00:00,1.8,一季度净利预增超两倍,中稀有色,业绩预增,0.95,利多,14.0,1.0,0.15262624095783744
=603508,2026-04-13 00:00:00,1.8,年度分红比例超179%,思维列控,分红,0.95,利多,15.0,1.0,0.15262624095783744
=601801,2026-04-13 00:00:00,1.7,净利超八亿分红比例超七成,皖新传媒,分红,0.95,利多,15.0,1.0,0.09792202002676159
=301329,2026-04-13 00:00:00,1.3,子公司业绩超预期达标,信音电子,业绩承诺达标,0.85,利多,10.0,0.7778174593052023,0.08224559608680033
=002998,2026-04-13 00:00:00,1.6,分红超净利润，高比例回馈股东,优彩资源,高比例分红,0.9,利多,14.0,0.9899494936611666,0.05210399173883348
=600738,2026-04-13 00:00:00,1.6,净利翻倍且分红比例达45%,丽尚国潮,分红,0.9,利多,15.0,1.0,0.04321779909568584
