Feature,Importance
PE_cross_dispersion,0.3741129335904692
营业利润(同比增长率)_rank,0.12572834252488718
企业倍数(EV除EBITDA),0.05734822409162634
市净率PB(MRQ)_rank,0.050224664979377734
MV_rank,0.04147305377811919
营业收入(同比增长率)_rank,0.032431758741537094
EP_x_净利润增长,0.03003316759585643
市现率PCF(经营现金流TTM),0.026605592561679593
EP,0.024663250091717204
营业收入(同比增长率),0.020636969359403082
市净率PB(MRQ),0.02024133002688586
净利润同比增长率_rank,0.017405310875781586
BP,0.017254955642243462
营业利润(同比增长率),0.01286407783035077
BP_x_营收增长,0.012670763496658879
股息率_rank,0.010935189903091457
MV,0.010808895212665813
市销率PS(TTM)_rank,0.010285359150072603
净资产同比增长率,0.010154683573544751
基本每股收益(同比增长率),0.009909195971840184
log_MV,0.00968177481633885
PE_pctl,0.008850747649087687
净利润同比增长率,0.00852999537055669
利润总额(同比增长率),0.007725832279990314
经营活动产生的现金流量净额(同比增长率),0.007371119755219207
SP,0.007142466855601306
市现率PCF(现金净流量TTM),0.005883492291378916
市销率PS(TTM),0.005873195408442364
市盈率PE(TTM),0.005150727855299777
总资产同比增长率,0.004864290799902469
股息率(近12个月),0.004680466365513424
"市盈率PE(TTM,扣除非经常性损益)",0.002995827340510609
现金净流量排名,0.002525564319328412
营业总收入(同比增长率),0.001817916944265432
现金净流量同比增长率,0.0011188629507563905
市盈率PE(TTM)_rank,0.0
