Feature,Importance
PE_cross_dispersion,0.21512409133132337
净利润同比增长率_rank,0.060417667710698515
企业倍数(EV除EBITDA),0.05212888995989222
营业利润(同比增长率)_rank,0.04127671589044779
EP,0.03686993745378063
净资产同比增长率,0.03130613171990709
市净率PB(MRQ),0.030565478895435712
市净率PB(MRQ)_rank,0.030467840954962733
EP_x_净利润增长,0.02940465972488937
经营活动产生的现金流量净额(同比增长率),0.028995945490149156
MV_rank,0.028817759956969002
市现率PCF(经营现金流TTM),0.024834771497946103
PE_pctl,0.024822572266149603
市现率PCF(现金净流量TTM),0.024330057506677914
总资产同比增长率,0.022937368328178453
营业收入(同比增长率)_rank,0.02282173140598906
BP,0.021573094988189514
BP_x_营收增长,0.020374149515466976
MV,0.02036212782331577
"市盈率PE(TTM,扣除非经常性损益)",0.020056141900787056
基本每股收益(同比增长率),0.02004366831478639
log_MV,0.018905241590814838
营业总收入(同比增长率),0.014699741477331895
市盈率PE(TTM)_rank,0.013970716855904156
营业收入(同比增长率),0.013962758885203376
现金净流量排名,0.013768445105336861
市销率PS(TTM)_rank,0.013624289667123894
股息率_rank,0.013076795289590234
SP,0.013026665155534335
股息率(近12个月),0.012740414326135673
现金净流量同比增长率,0.01273296541494148
市销率PS(TTM),0.012692216601972246
营业利润(同比增长率),0.011704410712415157
净利润同比增长率,0.010360195961862932
市盈率PE(TTM),0.008698097078377756
利润总额(同比增长率),0.008506243241512742
