Feature,Importance
净利润同比增长率_rank,0.01568468491024102
营业利润(同比增长率)_rank,0.007368800203695448
PE_cross_dispersion,0.0025488540455980944
市销率PS(TTM),0.0005442200675338859
营业收入(同比增长率)_rank,0.0
BP,0.0
SP,0.0
市盈率PE(TTM)_rank,0.0
市净率PB(MRQ)_rank,0.0
市销率PS(TTM)_rank,0.0
企业倍数(EV除EBITDA),0.0
log_MV,0.0
MV_rank,0.0
股息率_rank,0.0
现金净流量排名,0.0
EP_x_净利润增长,0.0
BP_x_营收增长,0.0
EP,0.0
营业收入(同比增长率),0.0
市净率PB(MRQ),0.0
净利润同比增长率,0.0
市现率PCF(现金净流量TTM),0.0
市现率PCF(经营现金流TTM),0.0
市盈率PE(TTM),0.0
"市盈率PE(TTM,扣除非经常性损益)",0.0
股息率(近12个月),0.0
MV,0.0
净资产同比增长率,0.0
营业总收入(同比增长率),0.0
利润总额(同比增长率),0.0
基本每股收益(同比增长率),0.0
总资产同比增长率,0.0
现金净流量同比增长率,0.0
经营活动产生的现金流量净额(同比增长率),0.0
营业利润(同比增长率),0.0
PE_pctl,0.0
