Feature,Importance
PE_cross_dispersion,0.2343570138491766
净利润同比增长率_rank,0.05844612731398631
营业利润(同比增长率)_rank,0.05178727579903414
企业倍数(EV除EBITDA),0.050273983767742586
EP_x_净利润增长,0.033970307965391584
市净率PB(MRQ)_rank,0.030035302453109845
MV_rank,0.029468615406173168
市净率PB(MRQ),0.029159968763871075
市现率PCF(经营现金流TTM),0.02897891586165744
EP,0.027555287183636604
净资产同比增长率,0.026918698089871317
BP_x_营收增长,0.025756216915028295
营业收入(同比增长率)_rank,0.025255543356506566
经营活动产生的现金流量净额(同比增长率),0.024834830625800875
市现率PCF(现金净流量TTM),0.023690091201384485
总资产同比增长率,0.02342093740410549
MV,0.02175705033529149
"市盈率PE(TTM,扣除非经常性损益)",0.02149929701620287
log_MV,0.020837316290016696
基本每股收益(同比增长率),0.02029226247699898
BP,0.019494899797953845
股息率(近12个月),0.014751914541194901
股息率_rank,0.014546669069093205
SP,0.0134967706025605
PE_pctl,0.01282540094373595
利润总额(同比增长率),0.012665586072943309
营业利润(同比增长率),0.012516539896625038
市销率PS(TTM)_rank,0.012115839636251274
现金净流量同比增长率,0.011700596662155241
净利润同比增长率,0.011313162671812572
现金净流量排名,0.010655146828609106
营业总收入(同比增长率),0.0106343269663074
营业收入(同比增长率),0.010159589908564397
市盈率PE(TTM)_rank,0.00944939028270469
市销率PS(TTM),0.008152042150607308
市盈率PE(TTM),0.007227081893894875
