Feature,Importance
log_MV,0.04769106415067747
MV_rank,0.031882813197559014
营业总收入(同比增长率),0.020578897353439953
净利润同比增长率_rank,0.017440713305835628
MV,0.016467345690330017
PE_cross_dispersion,0.013596397639012617
EP,0.011486713949756002
营业利润(同比增长率)_rank,0.011484434019209892
市净率PB(MRQ)_rank,0.011278155299485306
营业收入(同比增长率),0.011096806366175016
市销率PS(TTM),0.008089421796368122
净资产同比增长率,0.007409620258484331
市盈率PE(TTM)_rank,0.005626152078449615
营业收入(同比增长率)_rank,0.004935382522984232
市销率PS(TTM)_rank,0.00480594994929592
现金净流量同比增长率,0.004719903898584026
PE_pctl,0.004699980820764915
企业倍数(EV除EBITDA),0.0037967747421930086
EP_x_净利润增长,0.003730165056562168
净利润同比增长率,0.0035192891957143086
BP,0.0030399345754459177
现金净流量排名,0.002963122753914285
SP,0.0027476699380543927
基本每股收益(同比增长率),0.0025318988116881697
股息率(近12个月),0.002485346070743612
BP_x_营收增长,0.0018981400557701632
总资产同比增长率,0.0018382053594089604
"市盈率PE(TTM,扣除非经常性损益)",0.0016305742023037001
经营活动产生的现金流量净额(同比增长率),0.001590712086551257
市现率PCF(现金净流量TTM),0.0015775752316337698
市净率PB(MRQ),0.001522646486162502
营业利润(同比增长率),0.0014018157500184554
市现率PCF(经营现金流TTM),0.0007289604769718574
利润总额(同比增长率),0.0005573731427228875
市盈率PE(TTM),0.00012368112368785954
股息率_rank,6.864846646285417e-05
