Feature,Importance
PE_cross_dispersion,0.114041194
营业利润(同比增长率)_rank,0.046208374
净利润同比增长率_rank,0.043286413
MV_rank,0.031502675
市净率PB(MRQ)_rank,0.030980775
BP,0.029253567
EP,0.028401488
MV,0.028241338
营业收入(同比增长率)_rank,0.027595412
营业收入(同比增长率),0.027142832
净利润同比增长率,0.026302673
BP_x_营收增长,0.026301837
EP_x_净利润增长,0.025976485
基本每股收益(同比增长率),0.025568604
SP,0.025546899
股息率_rank,0.025186876
市销率PS(TTM)_rank,0.024921643
市盈率PE(TTM)_rank,0.024899164
PE_pctl,0.024700172
市净率PB(MRQ),0.023160134
营业利润(同比增长率),0.02295083
净资产同比增长率,0.022793226
log_MV,0.022563891
利润总额(同比增长率),0.022557342
总资产同比增长率,0.022049049
"市盈率PE(TTM,扣除非经常性损益)",0.022037959
营业总收入(同比增长率),0.021872275
企业倍数(EV除EBITDA),0.021639764
经营活动产生的现金流量净额(同比增长率),0.021592975
股息率(近12个月),0.02122505
市现率PCF(经营现金流TTM),0.020752626
市盈率PE(TTM),0.020338992
现金净流量排名,0.020265128
市销率PS(TTM),0.019986032
现金净流量同比增长率,0.019576022
市现率PCF(现金净流量TTM),0.018580312
