trade_date,股票代码,open,close,high,low,vol,amount,pct_chg,change,amp,turnover_rate
2023-08-11,002281,29.42,28.92,29.81,28.75,17992723,520269828.9,-1.61,-0.47,3.63,2.01
2023-08-14,002281,28.35,29.07,29.08,28.21,15472998,449856209.24,0.55,0.16,3.01,1.81
2023-08-15,002281,29.61,28.88,29.93,28.52,19509777,563365351.87,-0.68,-0.2,4.86,2.32
2023-08-16,002281,28.35,28.25,28.74,27.94,16359723,462222397.88,-2.16,-0.62,2.77,1.97
2023-08-17,002281,27.98,28.49,28.67,27.67,15570055,443602920.58,0.84,0.24,3.53,1.97
2023-08-18,002281,28.4,27.47,28.46,27.39,17116630,470249380.19,-3.57,-1.02,3.74,2.21
2023-08-21,002281,27.18,27.48,28.17,26.95,16874109,463753258.5,0.04,0.01,4.46,2.19
2023-08-22,002281,28.2,28.14,28.21,27.17,17203832,484032114.22,2.37,0.65,3.81,2.27
2023-08-23,002281,27.79,27.39,27.86,27.23,11829314,324054766.64,-2.63,-0.74,2.25,1.6
2023-08-24,002281,27.83,27.3,27.96,26.97,16971557,463245868.27,-0.36,-0.1,3.61,2.3
2023-08-25,002281,26.52,25.65,26.62,25.54,22606790,579765800.37,-6.04,-1.65,3.98,3.04
2023-08-28,002281,27.56,26.16,27.56,26.09,20720379,542031713.86,2.0,0.51,5.74,2.77
2023-08-29,002281,26.01,27.15,27.4,25.69,20522203,557121202.85,3.78,0.99,6.57,2.79
2023-08-30,002281,27.07,27.51,27.97,26.77,20951706,576439342.09,1.35,0.37,4.4,2.8
2023-08-31,002281,27.28,27.69,27.83,27.0,20226962,560096394.02,0.65,0.18,3.02,2.69
2023-09-01,002281,27.45,27.08,27.73,26.96,12163622,329367659.36,-2.21,-0.61,2.78,1.69
2023-09-04,002281,27.27,27.82,28.07,27.02,20044171,557608989.1,2.74,0.74,3.87,3.02
2023-09-05,002281,27.82,27.39,27.82,27.07,15608550,427583968.77,-1.53,-0.42,2.7,2.47
2023-09-06,002281,27.27,27.61,27.65,26.88,15028196,414951833.24,0.79,0.22,2.81,2.56
2023-09-07,002281,27.51,27.02,27.73,26.94,15621559,422076057.96,-2.15,-0.59,2.86,2.69
2023-09-08,002281,26.87,26.86,27.12,26.44,11169357,300017350.86,-0.59,-0.16,2.52,1.96
2023-09-11,002281,26.96,28.6,29.08,26.84,41713889,1192994008.94,6.47,1.74,8.35,6.8
2023-09-12,002281,28.45,31.46,31.46,28.2,50268337,1581659386.0,10.02,2.86,11.4,7.57
2023-09-13,002281,31.61,31.41,33.07,31.24,89968230,2826345678.59,-0.16,-0.05,5.84,11.43
2023-09-14,002281,30.91,31.85,32.98,30.88,65086202,2072969861.12,1.38,0.43,6.67,7.49
2023-09-15,002281,31.26,29.7,31.73,29.5,59222129,1758660405.14,-6.76,-2.15,7.01,6.3
2023-09-18,002281,29.81,29.77,30.97,29.54,37574970,1118424764.27,0.23,0.07,4.82,3.86
2023-09-19,002281,29.14,27.85,29.29,26.98,43006645,1197676839.3,-6.44,-1.92,7.77,4.23
2023-09-20,002281,27.75,28.39,29.62,27.68,44105736,1252249392.26,1.95,0.54,6.95,4.12
2023-09-21,002281,27.98,28.04,29.01,27.82,32587311,913629016.29,-1.25,-0.36,4.21,2.97
2023-09-22,002281,27.67,30.84,30.84,27.61,36959296,1139896950.9,10.01,2.81,11.52,3.3
2023-09-25,002281,32.11,32.68,33.88,31.86,105965937,3462906623.53,5.96,1.84,6.57,8.39
2023-09-26,002281,32.75,32.02,33.2,31.6,69464629,2224087066.04,-2.03,-0.66,4.9,5.17
2023-09-27,002281,31.54,31.64,32.55,31.3,45618959,1443481722.58,-1.17,-0.38,3.92,3.29
2023-09-28,002281,31.84,31.87,32.25,31.1,48775987,1554459580.63,0.72,0.23,3.65,3.4
2023-10-09,002281,33.39,33.66,34.58,32.7,85694558,2884259787.01,5.61,1.79,5.89,5.51
2023-10-10,002281,33.66,33.31,34.18,33.0,52262792,1740961594.02,-1.03,-0.35,3.52,3.25
2023-10-11,002281,32.97,33.0,33.94,32.61,43011052,1419173733.7,-0.95,-0.32,4.0,2.6
2023-10-12,002281,33.14,32.46,33.35,32.16,32789567,1064418110.05,-1.62,-0.53,3.62,1.95
2023-10-13,002281,32.11,31.63,32.42,31.57,32425573,1025694444.56,-2.56,-0.83,2.62,1.89
2023-10-16,002281,31.64,31.95,32.98,31.54,39839577,1272810533.68,1.0,0.32,4.53,2.26
2023-10-17,002281,31.95,31.36,32.02,30.51,31329909,982369958.3,-1.86,-0.59,4.73,1.8
2023-10-18,002281,30.68,30.36,30.99,29.16,30358914,921632488.79,-3.18,-1.0,5.83,1.78
2023-10-19,002281,29.97,29.63,30.59,29.54,25962889,769198571.78,-2.41,-0.73,3.48,1.62
2023-10-20,002281,29.04,27.81,29.78,27.74,35308485,981898239.4,-6.14,-1.82,6.9,2.27
2023-10-23,002281,27.39,26.29,27.94,25.98,28709328,754704465.52,-5.47,-1.52,7.03,1.91
2023-10-24,002281,26.54,26.86,27.62,26.39,29758117,799325460.63,2.18,0.57,4.7,2.0
2023-10-25,002281,27.06,26.44,27.6,26.25,33261834,879308602.19,-1.58,-0.42,5.04,2.26
2023-10-26,002281,26.0,29.08,29.08,25.69,69619465,2024778367.9,10.01,2.65,12.86,4.59
2023-10-27,002281,29.08,28.44,29.09,28.27,50062340,1423842108.44,-2.21,-0.64,2.82,3.24
2023-10-30,002281,27.94,28.11,28.24,27.47,33419462,939270664.76,-1.18,-0.34,2.71,2.17
2023-10-31,002281,28.11,26.53,28.11,26.18,60284242,1599627404.47,-5.59,-1.57,6.85,4.12
2023-11-01,002281,26.48,26.9,27.75,26.09,54327461,1461423290.79,1.38,0.37,6.25,3.78
2023-11-02,002281,27.76,26.44,28.11,26.33,47747393,1262248299.27,-1.73,-0.46,6.61,3.31
2023-11-03,002281,26.2,26.9,27.59,26.19,45092460,1212999283.79,1.76,0.46,5.31,3.14
2023-11-06,002281,26.98,27.76,28.11,26.98,46635960,1294601896.08,3.2,0.86,4.19,3.4
2023-11-07,002281,27.66,29.49,30.0,27.36,77705153,2291411859.33,6.23,1.73,9.5,5.5
2023-11-08,002281,29.43,29.76,29.83,28.72,63793486,1898192765.47,0.9,0.27,3.79,4.41
2023-11-09,002281,29.61,29.33,30.28,28.96,44517351,1305715383.69,-1.43,-0.42,4.45,3.03
2023-11-10,002281,29.1,28.94,29.78,28.84,28859670,835064003.86,-1.35,-0.4,3.2,1.98
2023-11-13,002281,29.34,29.47,29.79,29.15,40217296,1185154898.96,1.84,0.53,2.22,2.75
2023-11-14,002281,29.34,29.44,29.69,29.14,31205694,918669102.04,-0.1,-0.03,1.84,2.14
2023-11-15,002281,29.73,29.28,29.83,28.9,31003768,907823996.14,-0.54,-0.16,3.19,2.12
2023-11-16,002281,28.96,28.42,29.18,28.42,28543485,811252176.34,-2.94,-0.86,2.6,1.95
2023-11-17,002281,28.34,29.27,29.39,28.31,35662681,1043889746.59,2.99,0.85,3.79,2.43
2023-11-20,002281,29.07,28.88,29.23,28.59,27196209,785319168.58,-1.35,-0.4,2.19,1.86
2023-11-21,002281,28.98,29.21,29.78,28.77,43676765,1275882822.08,1.16,0.34,3.52,2.94
2023-11-22,002281,28.89,27.48,28.89,27.48,41450138,1139179352.38,-5.92,-1.73,4.8,2.76
2023-11-23,002281,27.36,27.62,27.74,27.2,19227985,531104431.02,0.5,0.14,1.98,1.36
2023-11-24,002281,27.66,26.72,27.71,26.52,23005355,614759454.62,-3.25,-0.9,4.29,1.68
2023-11-27,002281,26.55,26.99,27.34,26.48,21748596,586976805.22,1.0,0.27,3.25,1.61
2023-11-28,002281,26.99,26.81,27.0,26.47,15361527,411863421.41,-0.66,-0.18,1.98,1.2
2023-11-29,002281,26.87,26.7,27.14,26.61,16875465,450620376.98,-0.41,-0.11,1.95,1.39
2023-11-30,002281,26.52,27.01,27.01,26.32,18752747,506491813.74,1.15,0.31,2.59,1.61
2023-12-01,002281,27.07,29.71,29.71,26.97,104489896,3103964428.69,9.99,2.7,10.13,8.25
