trade_date,股票代码,open,close,high,low,vol,amount,amp,pct_chg,change,turnover_rate
2025-07-03,002281,47.2,47.96,48.45,47.1,260318,1242995262.73,2.87,2.11,0.99,3.34
2025-07-04,002281,47.92,47.27,48.43,47.1,213435,1014444116.7,2.77,-1.44,-0.69,2.74
2025-07-07,002281,47.06,46.14,47.23,45.6,223620,1032148430.19,3.45,-2.39,-1.13,2.87
2025-07-08,002281,46.7,47.23,47.45,44.0,423075,1964115977.87,7.48,2.36,1.09,5.43
2025-07-09,002281,47.18,47.12,48.17,46.83,329502,1561315432.36,2.84,-0.23,-0.11,4.23
2025-07-10,002281,47.28,46.39,47.58,46.01,236055,1100456629.23,3.33,-1.55,-0.73,3.03
2025-07-11,002281,46.25,46.38,46.87,45.93,182980,850112079.47,2.03,-0.02,-0.01,2.35
2025-07-14,002281,46.36,46.69,47.01,46.35,159431,744545861.84,1.42,0.67,0.31,2.04
2025-07-15,002281,47.0,48.75,49.7,46.99,612899,2982041613.09,5.8,4.41,2.06,7.86
2025-07-16,002281,48.77,47.47,49.07,47.39,446461,2152057569.6,3.45,-2.63,-1.28,5.73
2025-07-17,002281,47.06,49.31,50.5,47.03,608516,2997311316.0,7.31,3.88,1.84,7.81
2025-07-18,002281,49.35,48.75,50.02,48.68,465608,2295833021.21,2.72,-1.14,-0.56,5.97
2025-07-21,002281,48.56,48.29,48.75,47.7,331443,1593679733.62,2.15,-0.94,-0.46,4.25
2025-07-22,002281,48.13,48.08,49.63,48.01,366608,1783244555.06,3.35,-0.43,-0.21,4.7
2025-07-23,002281,47.67,47.23,47.67,46.75,287911,1357980935.11,1.91,-1.77,-0.85,3.69
2025-07-24,002281,47.59,47.38,47.6,47.06,204553,966527646.8,1.14,0.32,0.15,2.62
2025-07-25,002281,47.39,47.8,47.8,47.13,213223,1012600580.55,1.41,0.89,0.42,2.73
2025-07-28,002281,49.5,52.58,52.58,49.5,1101063,5717484247.32,6.44,10.0,4.78,14.12
2025-07-29,002281,51.5,52.4,52.63,51.38,821517,4274179156.83,2.38,-0.34,-0.18,10.54
2025-07-30,002281,52.67,51.7,52.95,51.0,447068,2319525695.37,3.72,-1.34,-0.7,5.73
2025-07-31,002281,52.05,51.95,53.53,51.45,791505,4167806662.44,4.02,0.48,0.25,10.15
2025-08-01,002281,51.61,50.16,52.0,49.7,471514,2393656147.28,4.43,-3.45,-1.79,6.05
2025-08-04,002281,49.79,49.91,50.19,49.32,301968,1502212574.78,1.73,-0.5,-0.25,3.87
2025-08-05,002281,50.39,51.1,51.5,49.51,487239,2462327360.57,3.99,2.38,1.19,6.25
2025-08-06,002281,50.63,51.42,52.18,50.5,360501,1851345791.8,3.29,0.63,0.32,4.62
2025-08-07,002281,51.98,50.32,51.99,49.91,346367,1756449085.77,4.05,-2.14,-1.1,4.44
2025-08-08,002281,50.08,50.02,50.67,49.84,196770,987235195.14,1.65,-0.6,-0.3,2.52
2025-08-11,002281,50.16,50.85,50.99,50.05,264676,1342466602.24,1.88,1.66,0.83,3.39
2025-08-12,002281,50.85,52.0,52.0,50.3,416179,2136027997.15,3.34,2.26,1.15,5.34
2025-08-13,002281,52.0,53.0,53.99,51.68,570774,3021212507.76,4.44,1.92,1.0,7.32
2025-08-14,002281,52.68,51.91,53.12,51.56,463488,2425041010.67,2.94,-2.06,-1.09,5.94
2025-08-15,002281,51.91,52.28,53.14,51.82,410703,2155565384.08,2.54,0.71,0.37,5.27
