综合排名,行业,行业-涨跌幅,资金流排名,涨幅排名,综合得分,净额,行业指数,公司家数,领涨股,领涨股-涨跌幅,当前价
1,算力租赁,4.2,15,1,0.9782945736434109,183.2,1579.62,170,锦鸡股份,20.04,13.42
2,东数西算(算力),2.88,12,13,0.9684754521963824,195.93,2417.01,377,锦鸡股份,20.04,13.42
3,云计算,3.15,22,6,0.9622739018087856,137.34,4359.21,219,品高股份,20.0,84.47
4,数据中心,2.25,3,57,0.9390180878552972,337.43,2465.14,591,大普微,430.71,244.55
5,英伟达概念,2.63,31,22,0.9317829457364342,113.66,1791.4,78,大普微,430.71,244.55
6,AIGC概念,2.56,24,31,0.931266149870801,131.92,2277.8,286,蜂助手,15.69,40.49
7,AI智能体,2.37,18,44,0.9271317829457365,158.81,1507.51,423,利尔达,23.83,9.77
8,阿里巴巴概念,2.39,25,43,0.9193798449612403,127.55,2124.88,680,利尔达,23.83,9.77
9,抖音概念(字节概念),2.67,41,21,0.9173126614987079,98.99,1801.2,212,利尔达,23.83,9.77
10,液冷服务器,2.37,27,44,0.9131782945736434,124.33,2209.42,194,鼎通科技,20.0,207.23
11,腾讯概念,2.46,34,37,0.910594315245478,109.35,1438.16,293,华谊兄弟,20.11,2.09
12,小金属概念,2.57,40,30,0.909560723514212,99.05,3825.69,165,天华新能,11.37,85.68
13,华为概念,2.07,4,82,0.9095607235142119,279.34,3678.3,999,利尔达,23.83,9.77
14,5G,2.08,7,81,0.9080103359173127,221.08,6399.73,445,利尔达,23.83,9.77
15,AI应用,2.2,19,63,0.9080103359173126,157.72,956.948,478,宏景科技,20.0,289.42
16,共封装光学(CPO),2.09,14,80,0.8981912144702842,188.62,5142.83,159,金禄电子,15.06,45.45
17,ChatGPT概念,2.61,52,25,0.8950904392764858,77.76,1970.42,142,宏景科技,20.0,289.42
18,DeepSeek概念,2.03,11,88,0.8945736434108527,198.97,1789.79,766,利尔达,23.83,9.77
19,数据要素,2.24,35,58,0.8883720930232557,107.49,1344.98,391,品高股份,20.0,84.47
20,多模态AI,2.59,57,29,0.8842377260981913,70.85,1427.08,148,宏景科技,20.0,289.42
