综合排名,行业,行业-涨跌幅,资金流排名,涨幅排名,综合得分,净额,行业指数,公司家数,领涨股,领涨股-涨跌幅,当前价
1,化学制药,2.24,2,2,0.9888888888888889,15.87,6910.97,158,博瑞医药,20.0,57.66
2,医药商业,4.48,4,1,0.98,12.86,5328.24,32,华人健康,19.98,20.78
3,银行,0.82,1,8,0.9688888888888889,27.31,1321.62,84,苏州银行,3.98,8.62
4,电网设备,1.46,5,4,0.9600000000000001,12.65,7492.27,138,双杰电气,10.97,15.37
5,中药,2.03,6,3,0.9577777777777778,12.47,3378.32,68,康恩贝,10.09,4.8
6,生物制品,1.39,8,5,0.9311111111111111,5.53,6831.86,55,诺诚健华,7.93,31.17
7,旅游及酒店,1.39,14,5,0.8911111111111111,-0.2,3307.4,35,丽江股份,9.96,9.94
8,食品加工制造,0.16,9,18,0.8711111111111112,3.0,5071.52,66,华统股份,8.92,13.68
8,小家电,0.24,11,15,0.8711111111111112,0.57,4525.73,25,新宝股份,10.03,17.34
10,公路铁路运输,0.22,12,16,0.86,0.5,1357.6,32,招商公路,3.74,9.15
